球隊,年度,球隊勝率,球隊防禦率<每9局被得多少分>,球隊打擊:球隊打擊率,球隊打擊:球隊上壘率,球隊打擊:球隊長打率,球隊打擊:球隊攻擊指數
紐約洋基,2016,0.52,4.16,0.252,0.314,0.405,0.719
明尼蘇達雙城 ,2016,0.36,5.09,0.251,0.316,0.421,0.737
堪薩斯市皇家,2016,0.5,4.21,0.261,0.312,0.400,0.712
底特律老虎,2016,0.53,4.24,0.267,0.331,0.438,0.769
克里夫蘭印地安人,2016,0.58,3.86,0.262,0.329,0.430,0.759
芝加哥白襪,2016,0.48,4.12,0.257,0.317,0.410,0.727
舊金山巨人,2016,0.54,3.69,0.258,0.329,0.398,0.727
波士頓紅襪,2016,0.57,4,0.282,0.348,0.461,0.809
聖地牙哥教士,2016,0.42,4.44,0.235,0.299,0.390,0.689
聖路易紅雀,2016,0.53,4.08,0.255,0.325,0.443,0.768
匹茲堡海盜,2016,0.48,4.22,0.257,0.332,0.402,0.734
費城費城人,2016,0.44,4.64,0.240,0.301,0.385,0.686
紐約大都會,2016,0.54,3.58,0.246,0.316,0.417,0.733
華盛頓國民,2016,0.59,3.52,0.256,0.325,0.426,0.751
密爾瓦基釀酒人,2016,0.45,4.1,0.244,0.322,0.407,0.729
洛杉磯道奇,2016,0.56,3.7,0.249,0.319,0.409,0.728
休士頓太空人,2016,0.52,4.06,0.247,0.319,0.417,0.736
邁阿密馬林魚,2016,0.49,4.05,0.263,0.322,0.394,0.716
巴爾的摩金鶯,2016,0.55,4.22,0.256,0.317,0.443,0.760
科羅拉多落磯,2016,0.46,4.92,0.275,0.336,0.457,0.793
辛辛那提紅人,2016,0.42,4.91,0.256,0.316,0.408,0.724
芝加哥小熊,2016,0.64,3.15,0.256,0.343,0.429,0.772
亞特蘭大勇士,2016,0.42,4.51,0.255,0.321,0.384,0.705
亞利桑那響尾蛇,2016,0.43,5.09,0.261,0.320,0.432,0.752
多倫多藍鳥,2016,0.55,3.79,0.248,0.330,0.426,0.756
德州遊騎兵,2016,0.59,4.38,0.262,0.322,0.433,0.755
坦帕灣光芒,2016,0.42,4.2,0.243,0.307,0.426,0.733
西雅圖水手,2016,0.53,4,0.259,0.326,0.430,0.756
奧克蘭運動家,2016,0.43,4.51,0.246,0.304,0.395,0.699
洛杉磯安那罕天使,2016,0.46,4.28,0.260,0.322,0.405,0.727
紐約洋基,2015,0.54,4.03,0.251,0.323,0.421,0.744
明尼蘇達雙城 ,2015,0.51,4.07,0.247,0.305,0.399,0.704
堪薩斯市皇家,2015,0.59,3.74,0.269,0.322,0.412,0.734
底特律老虎,2015,0.46,4.64,0.270,0.328,0.420,0.748
克里夫蘭印地安人,2015,0.5,3.68,0.256,0.325,0.401,0.726
芝加哥白襪,2015,0.47,3.98,0.250,0.306,0.380,0.686
舊金山巨人,2015,0.52,3.73,0.267,0.326,0.406,0.732
波士頓紅襪,2015,0.48,4.34,0.265,0.325,0.415,0.740
聖地牙哥教士,2015,0.46,4.09,0.243,0.300,0.385,0.685
聖路易紅雀,2015,0.62,2.94,0.253,0.321,0.394,0.715
匹茲堡海盜,2015,0.6,3.23,0.260,0.323,0.396,0.719
費城費城人,2015,0.39,4.69,0.249,0.303,0.382,0.685
紐約大都會,2015,0.56,3.45,0.244,0.312,0.400,0.712
華盛頓國民,2015,0.51,3.62,0.251,0.321,0.403,0.724
密爾瓦基釀酒人,2015,0.42,4.28,0.251,0.307,0.393,0.700
洛杉磯道奇,2015,0.57,3.46,0.250,0.326,0.413,0.739
休士頓太空人,2015,0.53,3.57,0.250,0.315,0.437,0.752
邁阿密馬林魚,2015,0.44,4.04,0.260,0.310,0.384,0.694
巴爾的摩金鶯,2015,0.5,4.05,0.250,0.307,0.421,0.728
科羅拉多落磯,2015,0.42,5.04,0.265,0.315,0.432,0.747
辛辛那提紅人,2015,0.4,4.35,0.248,0.312,0.394,0.706
芝加哥小熊,2015,0.6,3.36,0.244,0.321,0.398,0.719
亞特蘭大勇士,2015,0.41,4.41,0.251,0.314,0.359,0.673
亞利桑那響尾蛇,2015,0.49,4.05,0.264,0.324,0.414,0.738
多倫多藍鳥,2015,0.57,3.81,0.269,0.340,0.457,0.797
德州遊騎兵,2015,0.54,4.25,0.257,0.325,0.413,0.738
坦帕灣光芒,2015,0.49,3.74,0.252,0.314,0.406,0.720
西雅圖水手,2015,0.47,4.16,0.249,0.311,0.411,0.722
奧克蘭運動家,2015,0.42,4.16,0.251,0.312,0.395,0.707
洛杉磯安那罕天使,2015,0.52,3.94,0.246,0.307,0.396,0.703
紐約洋基,2014,0.52,3.75,0.245,0.307,0.380,0.687
明尼蘇達雙城 ,2014,0.43,4.58,0.254,0.324,0.389,0.713
堪薩斯市皇家,2014,0.55,3.51,0.263,0.314,0.376,0.690
底特律老虎,2014,0.56,4.01,0.277,0.331,0.426,0.757
克里夫蘭印地安人,2014,0.52,3.57,0.253,0.317,0.389,0.706
芝加哥白襪,2014,0.45,4.3,0.253,0.310,0.398,0.708
舊金山巨人,2014,0.54,3.5,0.255,0.311,0.388,0.699
波士頓紅襪,2014,0.44,4.01,0.244,0.316,0.369,0.685
聖地牙哥教士,2014,0.48,3.27,0.226,0.292,0.342,0.634
聖路易紅雀,2014,0.56,3.5,0.253,0.320,0.369,0.689
匹茲堡海盜,2014,0.54,3.49,0.259,0.330,0.404,0.734
費城費城人,2014,0.45,3.81,0.242,0.302,0.363,0.665
紐約大都會,2014,0.49,3.49,0.239,0.308,0.364,0.672
華盛頓國民,2014,0.59,3.03,0.253,0.321,0.393,0.714
密爾瓦基釀酒人,2014,0.51,3.67,0.250,0.311,0.397,0.708
洛杉磯道奇,2014,0.58,3.4,0.265,0.333,0.406,0.739
休士頓太空人,2014,0.43,4.14,0.242,0.309,0.383,0.692
邁阿密馬林魚,2014,0.48,3.79,0.253,0.317,0.378,0.695
巴爾的摩金鶯,2014,0.59,3.44,0.256,0.311,0.422,0.733
科羅拉多落磯,2014,0.41,4.86,0.276,0.327,0.445,0.772
辛辛那提紅人,2014,0.47,3.59,0.238,0.296,0.365,0.661
芝加哥小熊,2014,0.45,3.92,0.239,0.300,0.385,0.685
亞特蘭大勇士,2014,0.49,3.38,0.241,0.305,0.360,0.665
亞利桑那響尾蛇,2014,0.4,4.26,0.248,0.302,0.376,0.678
多倫多藍鳥,2014,0.51,4,0.259,0.323,0.414,0.737
德州遊騎兵,2014,0.41,4.49,0.256,0.314,0.375,0.689
坦帕灣光芒,2014,0.48,3.56,0.247,0.317,0.367,0.684
西雅圖水手,2014,0.54,3.17,0.244,0.300,0.376,0.676
奧克蘭運動家,2014,0.54,3.22,0.244,0.320,0.381,0.701
洛杉磯安那罕天使,2014,0.6,3.58,0.259,0.322,0.406,0.728
紐約洋基,2013,0.52,3.94,0.242,0.307,0.376,0.683
明尼蘇達雙城 ,2013,0.41,4.55,0.242,0.312,0.380,0.692
堪薩斯市皇家,2013,0.53,3.45,0.260,0.315,0.379,0.694
底特律老虎,2013,0.57,3.61,0.283,0.346,0.434,0.780
克里夫蘭印地安人,2013,0.57,3.82,0.255,0.327,0.410,0.737
芝加哥白襪,2013,0.39,4,0.249,0.302,0.378,0.680
舊金山巨人,2013,0.47,4,0.260,0.320,0.381,0.701
波士頓紅襪,2013,0.6,3.79,0.277,0.349,0.446,0.795
聖地牙哥教士,2013,0.47,3.98,0.245,0.308,0.378,0.686
聖路易紅雀,2013,0.6,3.43,0.269,0.332,0.401,0.733
匹茲堡海盜,2013,0.58,3.27,0.245,0.313,0.396,0.709
費城費城人,2013,0.45,4.34,0.248,0.306,0.384,0.690
紐約大都會,2013,0.46,3.78,0.237,0.306,0.366,0.672
華盛頓國民,2013,0.53,3.59,0.251,0.313,0.398,0.711
密爾瓦基釀酒人,2013,0.46,3.84,0.252,0.311,0.398,0.709
洛杉磯道奇,2013,0.57,3.25,0.264,0.326,0.396,0.722
休士頓太空人,2013,0.31,4.79,0.240,0.299,0.375,0.674
邁阿密馬林魚,2013,0.38,3.71,0.231,0.293,0.335,0.628
巴爾的摩金鶯,2013,0.52,4.2,0.260,0.313,0.431,0.744
科羅拉多落磯,2013,0.46,4.44,0.270,0.323,0.418,0.741
辛辛那提紅人,2013,0.56,3.38,0.249,0.327,0.391,0.718
芝加哥小熊,2013,0.41,4,0.238,0.300,0.392,0.692
亞特蘭大勇士,2013,0.59,3.18,0.249,0.321,0.402,0.723
亞利桑那響尾蛇,2013,0.5,3.92,0.259,0.323,0.391,0.714
多倫多藍鳥,2013,0.46,4.26,0.252,0.318,0.411,0.729
德州遊騎兵,2013,0.56,3.63,0.262,0.323,0.412,0.735
坦帕灣光芒,2013,0.56,3.74,0.257,0.329,0.408,0.737
西雅圖水手,2013,0.44,4.32,0.237,0.306,0.390,0.696
奧克蘭運動家,2013,0.59,3.56,0.254,0.327,0.419,0.746
洛杉磯安那罕天使,2013,0.48,4.24,0.264,0.329,0.414,0.743
紐約洋基,2012,0.59,3.85,0.265,0.337,0.453,0.790
明尼蘇達雙城 ,2012,0.41,4.77,0.260,0.325,0.390,0.715
堪薩斯市皇家,2012,0.44,4.3,0.265,0.317,0.400,0.717
底特律老虎,2012,0.54,3.77,0.268,0.335,0.422,0.757
克里夫蘭印地安人,2012,0.42,4.79,0.251,0.324,0.381,0.705
芝加哥白襪,2012,0.52,4.02,0.255,0.318,0.422,0.740
舊金山巨人,2012,0.58,3.68,0.269,0.327,0.397,0.724
波士頓紅襪,2012,0.43,4.72,0.260,0.315,0.415,0.730
聖地牙哥教士,2012,0.47,4.01,0.247,0.319,0.380,0.699
聖路易紅雀,2012,0.54,3.71,0.271,0.338,0.421,0.759
匹茲堡海盜,2012,0.49,3.91,0.243,0.304,0.395,0.699
費城費城人,2012,0.5,3.86,0.255,0.317,0.400,0.717
紐約大都會,2012,0.46,4.09,0.249,0.316,0.386,0.702
華盛頓國民,2012,0.6,3.34,0.261,0.322,0.428,0.750
密爾瓦基釀酒人,2012,0.51,4.22,0.259,0.325,0.437,0.762
洛杉磯道奇,2012,0.53,3.35,0.252,0.317,0.374,0.691
休士頓太空人,2012,0.34,4.57,0.236,0.302,0.371,0.673
邁阿密馬林魚,2012,0.43,4.1,0.244,0.308,0.382,0.690
巴爾的摩金鶯,2012,0.57,3.9,0.247,0.311,0.417,0.728
科羅拉多落磯,2012,0.4,5.22,0.274,0.330,0.436,0.766
辛辛那提紅人,2012,0.6,3.34,0.251,0.315,0.411,0.726
芝加哥小熊,2012,0.38,4.51,0.240,0.302,0.378,0.680
亞特蘭大勇士,2012,0.58,3.42,0.247,0.320,0.389,0.709
亞利桑那響尾蛇,2012,0.5,3.94,0.259,0.328,0.418,0.746
多倫多藍鳥,2012,0.45,4.64,0.245,0.309,0.407,0.716
德州遊騎兵,2012,0.57,4.02,0.273,0.334,0.446,0.780
坦帕灣光芒,2012,0.56,3.19,0.240,0.317,0.394,0.711
西雅圖水手,2012,0.46,3.76,0.234,0.296,0.369,0.665
奧克蘭運動家,2012,0.58,3.5,0.238,0.310,0.404,0.714
洛杉磯安那罕天使,2012,0.55,4.02,0.274,0.332,0.433,0.765
紐約洋基,2011,0.6,3.73,0.263,0.343,0.444,0.787
明尼蘇達雙城 ,2011,0.39,4.6,0.247,0.306,0.360,0.666
堪薩斯市皇家,2011,0.44,4.45,0.275,0.329,0.415,0.744
底特律老虎,2011,0.59,4.04,0.277,0.340,0.434,0.774
克里夫蘭印地安人,2011,0.49,4.24,0.250,0.317,0.396,0.713
芝加哥白襪,2011,0.49,4.1,0.252,0.319,0.388,0.707
舊金山巨人,2011,0.53,3.21,0.242,0.303,0.368,0.671
波士頓紅襪,2011,0.56,4.2,0.280,0.349,0.461,0.810
聖地牙哥教士,2011,0.44,3.43,0.237,0.305,0.349,0.654
聖路易紅雀,2011,0.56,3.79,0.273,0.341,0.425,0.766
匹茲堡海盜,2011,0.44,4.05,0.244,0.309,0.368,0.677
費城費城人,2011,0.63,3.02,0.253,0.323,0.395,0.718
紐約大都會,2011,0.48,4.19,0.264,0.335,0.391,0.726
華盛頓國民,2011,0.5,3.58,0.242,0.309,0.383,0.692
密爾瓦基釀酒人,2011,0.59,3.64,0.261,0.325,0.425,0.750
洛杉磯道奇,2011,0.51,3.56,0.257,0.322,0.375,0.697
休士頓太空人,2011,0.35,4.51,0.258,0.311,0.374,0.685
邁阿密馬林魚,2011,0.44,3.95,0.247,0.318,0.388,0.706
巴爾的摩金鶯,2011,0.43,4.92,0.257,0.316,0.413,0.729
科羅拉多落磯,2011,0.45,4.44,0.258,0.329,0.410,0.739
辛辛那提紅人,2011,0.49,4.16,0.256,0.326,0.408,0.734
芝加哥小熊,2011,0.44,4.34,0.256,0.314,0.401,0.715
亞特蘭大勇士,2011,0.55,3.49,0.243,0.308,0.387,0.695
亞利桑那響尾蛇,2011,0.58,3.8,0.250,0.322,0.413,0.735
多倫多藍鳥,2011,0.5,4.33,0.249,0.317,0.413,0.730
德州遊騎兵,2011,0.59,3.79,0.283,0.340,0.460,0.800
坦帕灣光芒,2011,0.56,3.58,0.244,0.322,0.402,0.724
西雅圖水手,2011,0.41,3.91,0.233,0.292,0.348,0.640
奧克蘭運動家,2011,0.46,3.71,0.244,0.311,0.369,0.680
洛杉磯安那罕天使,2011,0.53,3.57,0.253,0.313,0.402,0.715
紐約洋基,2010,0.59,4.06,0.267,0.350,0.436,0.786
明尼蘇達雙城 ,2010,0.58,3.95,0.273,0.341,0.422,0.763
堪薩斯市皇家,2010,0.41,4.97,0.274,0.331,0.399,0.730
底特律老虎,2010,0.5,4.29,0.268,0.335,0.415,0.750
克里夫蘭印地安人,2010,0.43,4.3,0.248,0.322,0.378,0.700
芝加哥白襪,2010,0.54,4.09,0.268,0.332,0.420,0.752
舊金山巨人,2010,0.57,3.38,0.257,0.321,0.408,0.729
波士頓紅襪,2010,0.55,4.19,0.268,0.339,0.451,0.790
聖地牙哥教士,2010,0.56,3.41,0.246,0.317,0.371,0.688
聖路易紅雀,2010,0.53,3.57,0.263,0.332,0.402,0.734
匹茲堡海盜,2010,0.35,5,0.242,0.304,0.373,0.677
費城費城人,2010,0.6,3.68,0.260,0.332,0.413,0.745
紐約大都會,2010,0.49,3.73,0.249,0.314,0.383,0.697
華盛頓國民,2010,0.43,4.13,0.250,0.318,0.390,0.708
密爾瓦基釀酒人,2010,0.48,4.59,0.262,0.335,0.424,0.759
洛杉磯道奇,2010,0.5,4,0.252,0.322,0.379,0.701
休士頓太空人,2010,0.47,4.09,0.247,0.303,0.362,0.665
邁阿密馬林魚,2010,0.49,4.09,0.254,0.321,0.403,0.724
巴爾的摩金鶯,2010,0.41,4.59,0.259,0.316,0.386,0.702
科羅拉多落磯,2010,0.51,4.14,0.263,0.336,0.425,0.761
辛辛那提紅人,2010,0.56,4.02,0.272,0.338,0.436,0.774
芝加哥小熊,2010,0.46,4.24,0.257,0.320,0.401,0.721
亞特蘭大勇士,2010,0.56,3.57,0.258,0.339,0.401,0.740
亞利桑那響尾蛇,2010,0.4,4.81,0.250,0.325,0.416,0.741
多倫多藍鳥,2010,0.52,4.23,0.248,0.312,0.454,0.766
德州遊騎兵,2010,0.56,3.93,0.276,0.338,0.419,0.757
坦帕灣光芒,2010,0.59,3.78,0.247,0.333,0.403,0.736
西雅圖水手,2010,0.38,3.95,0.236,0.298,0.339,0.637
奧克蘭運動家,2010,0.5,3.58,0.256,0.324,0.378,0.702
洛杉磯安那罕天使,2010,0.49,4.04,0.248,0.311,0.390,0.701
